ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT
1753881480.4500115,412.0159912109375,176.6300048828125,1678.0,1570.0,1865.0,0.0,2858.0,1104.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.5015104,412.06201171875,176.6300048828125,1678.0,1570.0,1865.0,0.0,2865.0,1104.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.552685,412.1449890136719,176.6300048828125,1683.0,1566.0,1870.0,0.0,2865.0,1113.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.6041503,412.1860046386719,176.6300048828125,1683.0,1566.0,1870.0,0.0,2865.0,1115.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.655165,412.22698974609375,176.6300048828125,1683.0,1567.0,1857.0,0.0,2860.0,1115.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.706485,412.26800537109375,176.6300048828125,1683.0,1567.0,1857.0,0.0,2860.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.7579246,412.3089904785156,176.6300048828125,1678.0,1571.0,1854.0,0.0,2876.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.5243530273438,<16f
1753881480.809013,412.406005859375,177.12399291992188,1687.0,1574.0,1857.0,0.0,2874.0,1111.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881480.8601303,412.4469909667969,177.12399291992188,1687.0,1574.0,1857.0,0.0,2874.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881480.9113548,412.4880065917969,177.12399291992188,1687.0,1566.0,1867.0,0.0,2879.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881480.9624045,412.52899169921875,177.12399291992188,1685.0,1566.0,1867.0,0.0,2879.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.0136945,412.6159973144531,177.12399291992188,1672.0,1576.0,1864.0,0.0,2872.0,1111.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.0650754,412.6570129394531,177.12399291992188,1672.0,1576.0,1864.0,0.0,2872.0,1114.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.1161072,412.697998046875,177.12399291992188,1672.0,1583.0,1869.0,0.0,2862.0,1114.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.1678264,412.739013671875,177.12399291992188,1676.0,1583.0,1869.0,0.0,2862.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.219193,412.8210144042969,177.12399291992188,1673.0,1593.0,1872.0,0.0,2864.0,1103.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5197143554688,<16f
1753881481.2705545,412.8710021972656,177.6300048828125,1673.0,1571.0,1867.0,0.0,2855.0,1103.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.321705,412.9169921875,177.6300048828125,1677.0,1571.0,1867.0,0.0,2855.0,1098.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.3730648,412.9580078125,177.6300048828125,1677.0,1556.0,1861.0,0.0,2844.0,1098.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.4244459,413.0400085449219,177.6300048828125,1671.0,1556.0,1862.0,0.0,2844.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.475589,413.08599853515625,177.6300048828125,1671.0,1559.0,1862.0,0.0,2839.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.5266864,413.12799072265625,177.6300048828125,1669.0,1559.0,1862.0,0.0,2839.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.5779462,413.16900634765625,177.6300048828125,1669.0,1566.0,1867.0,0.0,2856.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.6291897,413.2099914550781,177.6300048828125,1681.0,1566.0,1867.0,0.0,2856.0,1091.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.6804013,413.2919921875,177.6300048828125,1681.0,1556.0,1874.0,0.0,2861.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.7321322,413.3330078125,177.6300048828125,1676.0,1553.0,1871.0,0.0,2867.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4970092773438,<16f
1753881481.7833395,413.3840026855469,178.12399291992188,1676.0,1553.0,1871.0,0.0,2867.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881481.834311,413.42999267578125,178.12399291992188,1674.0,1566.0,1865.0,0.0,2872.0,1088.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881481.8853261,413.47100830078125,178.12399291992188,1674.0,1566.0,1865.0,0.0,2872.0,1088.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881481.936901,413.5530090332031,178.12399291992188,1675.0,1562.0,1867.0,0.0,2863.0,1096.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881481.9879258,413.5989990234375,178.12399291992188,1675.0,1562.0,1867.0,0.0,2863.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.0392528,413.6400146484375,178.12399291992188,1675.0,1572.0,1869.0,0.0,2878.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.090479,413.6809997558594,178.12399291992188,1675.0,1572.0,1869.0,0.0,2878.0,1111.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.141404,413.76300048828125,178.12399291992188,1681.0,1578.0,1865.0,0.0,2873.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.1925495,413.8039855957031,178.12399291992188,1668.0,1575.0,1862.0,0.0,2853.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.2436025,413.8450012207031,178.12399291992188,1668.0,1575.0,1862.0,0.0,2853.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.4939575195312,<16f
1753881482.2951136,413.8949890136719,178.6300048828125,1668.0,1575.0,1862.0,0.0,2852.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.346438,413.9410095214844,178.6300048828125,1671.0,1582.0,1869.0,0.0,2852.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.397322,414.02301025390625,178.6300048828125,1658.0,1580.0,1872.0,0.0,2867.0,1090.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.4488475,414.0639953613281,178.6300048828125,1658.0,1580.0,1872.0,0.0,2867.0,1091.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.5007741,414.1099853515625,178.6300048828125,1667.0,1580.0,1869.0,0.0,2856.0,1091.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.5523071,414.1919860839844,178.6300048828125,1672.0,1586.0,1858.0,0.0,2843.0,1102.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.6040907,414.2330017089844,178.6300048828125,1672.0,1586.0,1858.0,0.0,2843.0,1103.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.6550076,414.27398681640625,178.6300048828125,1672.0,1577.0,1858.0,0.0,2857.0,1103.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.7060938,414.31500244140625,178.6300048828125,1674.0,1577.0,1858.0,0.0,2857.0,1103.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.757364,414.35699462890625,178.6300048828125,1674.0,1577.0,1858.0,0.0,2868.0,1106.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.49365234375,<16f
1753881482.8083596,414.4530029296875,179.12399291992188,1683.0,1568.0,1876.0,0.0,2862.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881482.859505,414.4939880371094,179.12399291992188,1689.0,1577.0,1884.0,0.0,2862.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881482.9113355,414.5350036621094,179.12399291992188,1689.0,1577.0,1884.0,0.0,2862.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881482.9626555,414.57598876953125,179.12399291992188,1689.0,1582.0,1879.0,0.0,2853.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.0137808,414.6629943847656,179.12399291992188,1677.0,1571.0,1881.0,0.0,2850.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.066081,414.7040100097656,179.12399291992188,1666.0,1571.0,1881.0,0.0,2850.0,1095.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.117543,414.7449951171875,179.12399291992188,1666.0,1572.0,1871.0,0.0,2864.0,1095.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.1692662,414.7860107421875,179.12399291992188,1666.0,1572.0,1871.0,0.0,2864.0,1095.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.2204611,414.8680114746094,179.12399291992188,1679.0,1576.0,1868.0,0.0,2869.0,1102.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4727172851562,<16f
1753881483.2715657,414.9179992675781,179.6300048828125,1678.0,1576.0,1868.0,0.0,2869.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.3227305,414.9639892578125,179.6300048828125,1678.0,1576.0,1869.0,0.0,2866.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.374024,415.0050048828125,179.6300048828125,1666.0,1576.0,1869.0,0.0,2866.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.4252074,415.0459899902344,179.6300048828125,1666.0,1577.0,1865.0,0.0,2865.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.476345,415.13299560546875,179.6300048828125,1661.0,1578.0,1857.0,0.0,2874.0,1108.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.5276585,415.17401123046875,179.6300048828125,1661.0,1578.0,1857.0,0.0,2874.0,1108.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.579342,415.2149963378906,179.6300048828125,1669.0,1578.0,1858.0,0.0,2865.0,1103.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.6313906,415.2560119628906,179.6300048828125,1669.0,1574.0,1858.0,0.0,2865.0,1103.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.683101,415.3380126953125,179.6300048828125,1675.0,1582.0,1870.0,0.0,2855.0,1101.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.7353897,415.3800048828125,179.6300048828125,1675.0,1582.0,1870.0,0.0,2861.0,1113.0,48.0,0.0,0.0,39.0,nan,nan,45.02000045776367,970.4591064453125,<16f
1753881483.7868297,415.43499755859375,180.1230010986328,1671.0,1574.0,1878.0,0.0,2861.0,1113.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881483.8383036,415.47601318359375,180.1230010986328,1671.0,1574.0,1878.0,0.0,2865.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881483.8896031,415.5580139160156,180.1230010986328,1667.0,1571.0,1861.0,0.0,2865.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881483.94071,415.5989990234375,180.1230010986328,1680.0,1569.0,1858.0,0.0,2873.0,1094.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881483.99184,415.6449890136719,180.1230010986328,1680.0,1569.0,1858.0,0.0,2873.0,1094.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.0433328,415.6860046386719,180.1230010986328,1688.0,1569.0,1853.0,0.0,2878.0,1093.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.0944276,415.76800537109375,180.1230010986328,1688.0,1574.0,1853.0,0.0,2881.0,1092.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.145536,415.8089904785156,180.1230010986328,1667.0,1578.0,1857.0,0.0,2881.0,1092.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.1970747,415.8500061035156,180.1230010986328,1667.0,1578.0,1857.0,0.0,2861.0,1106.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.2487245,415.8909912109375,180.1230010986328,1671.0,1579.0,1859.0,0.0,2861.0,1106.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5192260742188,<16f
1753881484.3000598,415.9419860839844,180.6300048828125,1671.0,1579.0,1859.0,0.0,2861.0,1105.0,48.0,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4852294921875,<16f
1753881484.3511667,416.02899169921875,180.6300048828125,1686.0,1572.0,1862.0,0.0,2870.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4852294921875,<16f
1753881484.402314,416.07000732421875,180.6300048828125,1686.0,1572.0,1879.0,0.0,2883.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4852294921875,<16f
1753881484.453704,416.1109924316406,180.6300048828125,1678.0,1575.0,1879.0,0.0,2883.0,1100.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4852294921875,<16f
1753881484.5047526,416.1570129394531,180.6300048828125,1678.0,1575.0,1880.0,0.0,2877.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.4852294921875,<16f
