ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT,throttle_pct
1753943702.9824812,7649.1162109375,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,0.0,0.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.0334287,7649.2001953125,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,0.0,0.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.0842154,7649.2412109375,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,0.0,0.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.135085,7649.287109375,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.186079,7649.328125,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.2366824,7649.41015625,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.2872808,7649.451171875,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.3380897,7649.4921875,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.389059,7649.533203125,7474.6220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.310001373291016,972.2103881835938,<16f,20
1753943703.4398963,7649.583984375,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.0,0.0,89.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.4909866,7649.6708984375,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,1.7000000476837158,1350.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.5418537,7649.7119140625,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,1.7000000476837158,1350.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.593398,7649.7529296875,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,48.0,1.7000000476837158,1350.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.6442354,7649.7998046875,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,1.7000000476837158,1323.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.6948178,7649.8818359375,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,1.7000000476837158,1323.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
1753943703.7458851,7649.9228515625,7475.1220703125,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,47.900001525878906,1.7000000476837158,1323.0,28.0,nan,nan,45.31999969482422,972.236328125,<16f,20
