ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT,throttle_pct
1753961607.6868389,479.66400146484375,3670.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.47999954223633,971.110595703125,<16f,20
1753961607.7377484,479.7179870605469,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961607.7889724,479.7590026855469,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961607.8397691,479.79998779296875,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961607.890794,479.84100341796875,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961607.9415674,479.9230041503906,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961607.9923317,479.9639892578125,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.043311,480.0050048828125,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.0940564,480.0870056152344,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.1453223,480.12799072265625,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.19633,480.1709899902344,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.2474012,480.2120056152344,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.2981758,480.29400634765625,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.3492045,480.3349914550781,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.4006398,480.3760070800781,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.451481,480.4169921875,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.5028615,480.4989929199219,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.5537014,480.5400085449219,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.6048133,480.58099365234375,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.655598,480.62200927734375,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.7064645,480.66400146484375,3671.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,0.0,0.0,27.0,nan,nan,45.470001220703125,971.1875,<16f,20
1753961608.7571852,480.760009765625,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961608.8082154,480.8009948730469,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961608.8590605,480.8420104980469,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961608.910071,480.88299560546875,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961608.960643,480.9649963378906,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961609.0117722,481.0060119628906,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
1753961609.0629654,481.0469970703125,3672.618896484375,0.0,0.0,0.0,0.0,0.0,0.0,47.900001525878906,1.600000023841858,1326.0,27.0,nan,nan,45.470001220703125,971.1314086914062,<16f,20
